Slovenian,English
Srečni,Happy
Srečo,Good luck
Stafford,Stafford
Stairway,Stairway
Stala,Standing
Stališče,The point of view
Standard,Standard
Stane,It costs
Stane,It costs
Staneta,They cost
Stanetu,Stanet
Stanfordu,Stanford
Staninvest,Staninvest
Stanislav,Stanislav
Stanislaw,Stanislaus
Stanleyja,Stanley
Stanovanja,Apartments
Stanovanjska,Residential
Stara,Old woman
Starejši,Older
Stari,Dude
Starimi,The old ones
Starine,Antiquities
Staro,Old
Starost,Old age
Starship,Starship
Starša,A parent
Staršem,To my parents
Stata,Stata
State,States
Statističnem,Statistical
Statutarna,Statutory
Stavaas,You bet
Stavba,Building
Stavbo,The building
Stavka,A strike
Staša,Stasha
Stefan,Stefan
Stefanom,To Stefan
Stefanos,Stefanos
Stegna,Thighs
Steinerjevih,Steiner's
Steinmeierjem,Steinmeier
Steletovo,Steletovo
Stella,Stella
Stello,Stella
Stenmarka,Stenmark
Step,Steppe
Stephena,Stephen
Stern,Stern
Stevena,Steven
Steyer,Steyer
Steèajni,Bankrupt
Stifado,Stifado
Stik,Contact
Stillesovi,The Stilles
Stipanović,Stipanović
Stiska,Distress
Stjernesund,Stjernesund
Stojim,I'm standing
Stojka,Stand
Stojko,Stand
Stojnice,Stands
Stolp,Tower
Stolp,Tower
Stone,Stone
Stopil,Stepped
Stopič,Stepper
Storžièa,Storžiča
Stovža,Cone
Stožice,Cones
Strahomer,Scarecrow
Strategija,Strategy
Strategije,Strategies
Stražišèu,To the guard
Stražunskega,Stražunski
Stražunski,Stražunsky
Stražunski,Stražunsky
Stražunu,To the guard
Streljanje,Shooting
Stremimo,We strive
Stres,Stress
Strese,Stress
Strgar,Scraper
Strici,Uncles
Strmoglavilo,A crash
Strogi,Strict
Strojnim,By hardware
Strokovna,Professional
Strokovne,Professional
Strokovni,Professional
Strokovnjakinja,An expert
Strokovnjakinji,Experts
Studenško,Student
Studora,Studora
Stumpf,Stumpf
Sturmu,To Sturm
Sturridge,Sturridge
Stvaritev,Creation
Subkulturni,Subcultural
SuhaDravograd,SuhaDravograd
Suhadolnik,Slimming machine
Suifehne,Suifehne
Sukičeva,Sukičeva
Sulejmanija,Suleimanija
Suljićevo,Suljićeva
Sullam,Sullam
Sume,Suspicions
Sumijo,They suspect
Summit,Summit
Sunaka,Sunaka
Sunchon,Sunchon
Suns,Sons
Superbowl,Superbowl
Superior,Superior
Superleggera,Superleggera
Superluna,Supermoon
Surovine,Raw materials
Sursu,Sursu
Suter,Suter
Suzanine,Susan's
Suzuki,Suzuki
Suzukija,Suzuki
Suzukijev,Suzuki's
Sušinsku,Sushinsk
Svalbard,Svalbard
Sveta,Holy
Svetega,Holy
Svetem,I know
Sveti,Saints
Sveti,Saints
Svetina,Holy place
Svetine,Holy places
Svetlano,Svetlano
Svetlik,Svetlik
Svetlič,Svetlič
Sveto,Sacred
Svetovna,World
Svetovna,World
Svetovnega,World
Sveè,A candle
Svežega,Fresh
Sveženj,Bundle
Sveži,Fresh
Sviz,Swiz
Svoj,His own
Svojci,Relatives
Svojega,His own
Svojevrstna,Peculiar
Svojih,Their own
Sy,Sy
Sydneyju,Sydney
Symondsovo,Symonds's
Szegedu,Szeged
Sánchez,Sánchez
Sèasoma,Sèasoma
Sørenu,to Søren
Sükür,Sugar
Sčasoma,Eventually
SŽ,SŽ
T,T
TAN,TAN
TAPa,TAP
TD,TD
TDI,TDI
TIC,TIC
TJN,TJN
TOMtelefona,TOM phone
TOP,TOP
TREK,TREK
TRL,TRL
TRL,TRL
TV,TV
TV,TV
TVprogramov,TV programs
TVsporeda,TV schedule
TZS,TZS
Tabora,Camp
Taborniki,Campers
Tadej,Tadej
Tagil,Tagil
Tajsko,Thailand
Tajvan,Taiwan
Tajvana,of Taiwan
Takih,Such
Taksisti,Taxi drivers
Taler,Thaler
Talin,Tallinn
Tamkajšnji,The one there
Tammy,Tammy
Tampa,Tampa
Tampi,Tampa
Tanjo,Tanya
Tanner,Tanner
Tanzanije,of Tanzania
Tarzana,Tarzan
Tarèi,Targets
Tarče,Targets
Tatep,Tatep
Tatsuki,Tatsuki
Tawe,You
Tayyipom,Tayyip
Tebas,You
Teda,Ted
Tedanji,Those of that time
Tednu,A week
Teheran,Tehran
Tehnične,Technical
Tehnologija,Technology
Teich,Teich
Teje,Teje
Teji,To you
Tekavec,A runner
Tekla,She ran
Teklo,It flowed
Tekmi,Matches
Tekmovalna,Competitive
Tekmovanja,Competitions
Tekom,Running
Teksasa,Texas
Teksasu,Texas
Tel,Tel
Telegrama,Telegram
Telekomom,Telecoms
Telemetrična,Telemetric
Telescope,Telescope
Televizijska,Television
Televizijske,Television
Telovadba,Exercise
Tem,Tem
Temelj,The foundation
Temeljna,Fundamental
Temeljni,Fundamental
Tenis,Tennis
Teniška,A tennis shoe
Teniški,Tennis
Teodora,Teodora
Teolog,A theologian
Teorija,Theory
Terapevtski,Therapeutic
Terapije,Therapies
Terena,Terrain
Terenski,Off-road
Terme,Thermal baths
Terme,Thermal baths
Termit,Termite
Termoelektrarni,Thermal power plants
Terče,Targets
Tesle,Tesla
Tesli,Tesla
Tessler,Tessler
Testiranec,The test subject
Testiranje,Testing
Testirati,To test
Tetičkoviča,Tetičkovića
TextDesign,TextDesign
Teš,Tes
Teša,Tesha
Tešu,They are comforting
Težji,More difficult
Thaçiju,To Thaçi
The,The
The,The
The,The
Theater,Theater
Thee,Thea
Theerapat,Therapath
Theodoridisa,Theodoridis
Thepaut,Thepaut
Therese,Theresa
Therese,Theresa
Thierry,Thierry
Thingnes,Thingnes
Thomas,Thomas
Thompsona,Thompson
Thuilu,Thuil
Tianwen,Tianwen
Tibetancev,Tibetans
Tihon,Tikhon
Tiktoka,Tiktok
Tilda,Tilda
Tilen,Tile
Tim,The team
Timesu,The Times
Tine,Tina
Tine,Tina
Tinetom,Tinets
Tip,The guy
Tirani,Tyrants
Tirolskem,Tyrolean
Tisoč,A thousand
Tistih,Those
Tita,Tita
Titove,Tito's
Titovem,Tito's
Tivoli,Tivoli
Tivoli,Tivoli
Tišler,Tishler
Tišma,Tishma
Tjaša,Tjaša
Tobagu,Tobago
Todorića,Todorić
Tolmin,Tolmin
Tom,Tom
Tom,Tom
Tomazin,Thomazine
Tomačevo,Tomačevo
Tomaš,Tomas
Tomašič,Tomasic
Tomaž,Thomas
Tomislava,Tomislav
Tomića,Tomic
Tomišelj,Tomišelj
Tomom,Tom
Tomsk,Tomsk
Tomska,Tomsk
Tomu,Tom
Tomšič,Tomšić
Tone,Tons
Tone,Tons
Toneta,It sinks
Tonijevi,Tony's
Tonina,Tonina
Tonyja,Tony
Tonyjem,To Tony
Topla,Warm
Toplicah,Spas
Tora,Torah
Torf,Peat
Tori,Tori
Tori,Tori
Torino,Turin
Torinu,Turin
Torra,Torra
Toscanini,Toscanini
Toskani,Tuscans
Total,Total
Tottenhamom,Tottenham
Tour,Tour
Touring,Touring
Tourom,Tour
Touru,Tour
Tovariše,Comrades
Tovarniško,Factory
Tovrstni,This kind
Točnega,The exact one
Tošiću,Tošić
Tožilec,Prosecutor
Tožilstva,Prosecutor's Office
Tradicionalna,Traditional
Tradicionalno,Traditional
Trafford,Trafford
Traffordu,Trafford
Trans,Trans
Transavia,Transavia
Transfermarkta,Transfermarkt
Traso,Route
Trata,The lawn
Tratnika,Tratnik
Travaglio,Travaglio
Travna,Grass
Travnerja,Travner
Trbeže,It is demanding
Trbovlje,Trbovlje
Trdi,Hard
Trdijo,They claim
Trdo,Hard
Trebnje,Trebnje
Trebnjega,Trebnje
TrekSegafredo,TrekSegafredo
Trening,Training
Trenira,He's training
Treniral,Trained
Trenutna,Current
Trenutne,Current
Tresenje,Trembling
Tretje,Third
Tretji,The third
Tretjo,The third
Trg,Market
Trgovine,Shops
Triatlonskega,Triathlon
Tridesetletne,Thirty years old
Trifunović,Trifunovic
Trifunoviću,Trifunović
Triglavani,Three-headed
Triglavski,Triglav
Triglavsko,Triglav
Triintridesetletna,Thirty-three years old
Triintridesetletni,Thirty-three years old
Triintridesetletnik,A thirty-three-year-old
Trinche,Trench
Tripoliju,Tripoli
Trisport,Trisport
Tričlanska,Three-member
Trogirju,Trogir
Trojka,A triplet
Trojnega,Triple
Trstenik,Reed tree
Trsteniku,Reeder
Trstenjak,Reed plant
Trstu,Trieste
Trubarjeva,Trubareva
Trubarjevem,Trubarev
Trud,Effort
Truden,Pregnant
Trumpih,Trumps
Trumpom,Trump
Trumpov,Trump's
Trumpovem,Trump's
Trumpovimi,Trump's
Trumpovo,Trump's
Truplo,A dead body
Trzin,Trzin
Trčenja,Collisions
Trčka,Collision
Trčkom,To the little boy
Tržièa,The market
Tržièanka,Marketer
Tržièu,Marketer
Tržiškem,Marketing
Tržnica,Market
Tsitsipas,Tsitsipas
Tu,Here
Tuji,Stranger
Tujskoprometnega,Foreign traffic
Tuma,Tuma
Tumpeja,Tumpey
Tunelski,Tunnel
Tunizija,Tunisia
Turbulentno,Turbulent
Turek,Turk
Turingije,Thuringia
Turingiji,Thuringia
Turisti,Tourists
Turistiènega,Touristic
Turistièni,Touristic
Turistiènoinformacijskega,Tourist information
Turistično,Touristic
Turizem,Tourism
Turjaku,Turjak
Turkov,Turks
Turkova,Turkova
Turnišču,To the tournament
Turčijo,Turkey
Tusk,Tusk
Tveganje,Risk
Tvegati,To take risks
Tvoja,Yours
Tvojega,Yours
Tvonoviny,Fabrics
Twiggy,Twiggy
Twito,Tweet
Tyler,Tyler
Tylerju,To Tyler
UE,UE
UEBO,UEBO
UFCja,UFC
UK,UK
UL,UL
UM,UM
URSZR,URSZR
US,US
UTD,UTD
UTZ,UTZ
Uci,Learn
Udarili,Hit
Udineseja,Udinese
Uefinem,Uefine
Uf,Phew
Ugodni,Favorable
Ugotovil,Found out
Uhlovem,I catch it
Ukinite,Cancel it
Ukinja,Cancels
Ukomu,Ukomu
Ukradel,Stole
Ukrajince,Ukrainians
Ukrajinci,Ukrainians
Ukrajinski,Ukrainian
Ukrepe,Actions
Ukrivljene,Curved
Ulice,Streets
Ulico,Street
Ulissi,Ulysses
Umagu,Umago
Umaknili,Withdrawn
Umarju,Umarju
Umeka,He pulls away
Umetna,Artificial
Umetna,Artificial
Umetnine,Works of art
Umetnost,Art
Umik,Retreat
Umor,Murder
Umrl,Died
Un,Un
UniCredit,UniCredit
Uniban,Uniban
Unicefu,Unicef
Unifarm,Unifarm
Unije,Union
Unijo,Union
Unionom,Union
Uniteda,United
Unitedov,United's
Unitedova,United's
Unitedove,United's
Universal,Universal
Universe,Universe
Univerza,University
Univerza,University
Univerzi,Universities
Univerzitetnega,University
Univerzitetni,University
Univerzo,University
Uničenja,Destruction
Unomnaj,Ignore it
Unovčiti,Cash out
Unter,Unter
Upa,Hope
Upad,Decline
Upadanje,Declining
Upajmo,Let's hope so
Upajo,They hope
Upamo,We hope so
Upanje,Hope
Upokojeni,Retired
Upor,Resistance
Uporabljajo,They use
Uporabljali,Used
Uporabniki,Users
Upoštevaje,It takes into account
Upoštevali,Considered
Upoštevamo,We take into account
Upravi,Administer
Upravičencu,To the beneficiary
Upravičenec,Beneficiary
Uprizoritev,Staging
Urad,Office
Urada,Office
Uradne,Official
Uradnega,Official
Uradniki,Officials
Urbanc,Urbanc
Uredili,Arranged
Ureditev,Arrangement
Urh,Org
Urha,Hurrah
Urnaut,Urnaut
Uroš,Uros
Uroš,Uros
Urošu,Uros
Ursiks,Ursix
Ursula,Ursula
Ursula,Ursula
Urugvajec,Uruguayan
Urugvajski,Uruguayan
Uslužbenec,An employee
Usoda,Destiny
Uspel,Succeeded
Ustanovil,Established
Ustanovna,Founding
Ustavila,She stopped
Ustavljajo,They are stopping
Ustavo,The Constitution
Ustvarjajo,They create
Utah,Utah
Utika,Plug in
Utrujenost,Fatigue
Uvodne,Introductory
Uvoz,Import
Uèil,I learned
Uèiteljica,Teacher
Učenci,Students
Učenje,Learning
Učitelji,Teachers
Učiteljica,Teacher
Ušenišče,A place of study
Užicah,Pleasures
V,V
V,V
VAR,VAR
VIII,VIII
VR,VR
VZPIANPI,GET UP
Vabim,I invite you
Vaclik,Vaclik
Vadijo,They practice
Vaginalni,Vaginal
Vaja,Exercise
Vajena,Used to
Vajin,Yours
Vajo,Exercise
Valencie,Valencia
Valencii,Valencia
Valentin,Valentine
Valentina,Valentine
Valentinčič,Valentinčič
Valerija,Valeria
Valicon,Valicon
Valicona,Valicon
Valjevu,Valjev
Valtterijem,Valtteri
Valvasorjev,of Valvasor
Vam,To you
Vanarama,Vanarama
Vancouver,Vancouver
Vandalizem,Vandalism
Vanessa,Vanessa
Vanessi,Vanessa
Vanga,Vanga
Vanillaz,Vanillaz
Vanolija,Vanolia
Varaždinu,Varaždin
Vardar,Vardar
Varljivo,Deceptive
Varnostnik,Security guard
Varoše,Varoš
Varošo,Varosha
Varujmo,Let's protect
Varčevala,Savings
Varšavi,Warsaw
Vasko,Vaska
Vasko,Vaska
Vatikan,The Vatican
Vatikana,of the Vatican
Vatovec,Cotton wool
Vavčerje,Vouchers
Vaèavnik,Lecturer
Vaš,Yours
Vaša,Yours
Vaše,Yours
Vašem,Yours
Vdih,Inhale
Ve,He knows
Vedela,Knew
Vedeli,They knew
Vedeti,To know
Vegasa,Vegas
Vegelj,Vegelj
Veith,Veith
Velika,A big one
Velikanski,Giant
Velike,Big ones
Veliko,A lot
Velikovcem,to Velikovci
Veljal,Valid
Veljali,Valid
Velominatov,Velominates
Venezuelci,Venezuelans
Venezueli,Venezuela
Verdi,Verdi
Verdijeva,Verdi's
Vernih,Faithful
Verniki,Believers
Veronica,Veronica
Versaillesa,Versailles
Verstappen,Verstappen
Verstappna,Verstappen
Verstappnov,Verstappen's
Veselin,Veselin
Veselin,Veselin
Veslesa,Oars
Vesna,Vesna
Veso,Everything
Vesoljsko,Space
Vesoljsko,Space
Vest,Consciousness
Veterinarsko,Veterinary
Vetrni,Windy
Večerni,Evening
Večernji,Evening
Večerov,Evenings
Večine,Most of them
Večji,Bigger
Večjih,Bigger ones
Večni,Eternal
Vi,You
Vibram,Vibram
Victorias,Victorias
Vid,Sight
Vidala,She saw it
Videli,Seen
Videmski,Videmski
Videokonferenco,Video conference
Videoposnetek,Video clip
Videoton,Video tone
Videti,To see
Vidic,Visibility
VidicDelo,VidicDelo
Vidite,You see
Vidmu,I see
Vierge,Vierge
Vietnamu,Vietnam
Vikingurju,Vikingur
Viktorije,Victoria
Viktoriji,Victoria
Viktorju,To Viktor
Vili,Fairies
Villa,Villa
Villages,Villages
Villi,Villas
Vinag,Vinegar
Vinakras,Vinakras
Vinales,Vinales
Vinalesa,Vinales
Vinarium,Winery
Vinarji,Winemakers
Vincenta,Vincent
Vinska,Vinska
Vipava,Vipava
Vipavi,Vipavi
Vipavskem,Vipava
Vipolž,Vipolž
Virant,Virant
Virginiji,Virginia
Viri,Sources
Virtualna,Virtual
Virtualni,Virtual
Viru,To the source
Virusi,Viruses
Visa,Visa
Visme,Visme
Vismi,Vismi
Visoki,Tall
Visokointenzivni,High intensity
Vita,Vita
Vita,Vita
Vitranc,Showcase
Vivian,Vivian
Vizingerja,Vizinger
Vizjak,Vizjak
Viñalesom,Viñales
Viševnik,A mountain climber
Višina,Height
Višje,Higher
Višnarjeva,Vishnareva
Višnji,Cherries
Vižmarje,Vižmarje
Vkljuèuje,Includes
Vkljuèujejo,They include
Vključevanje,Integration
Vlada,Government
Vladi,To the government
Vladimir,Vladimir
Vlagatelji,Investors
Vleče,Pulls
Vlhovo,Vlhovo
Vljudno,Politely
Vloge,Roles
Vmesni,Intermediate
Vnaprej,In advance
Vodenje,Leadership
Vodi,Lead
Vodic,Leader
Vodilna,Leading
Voditelju,To the manager
Vodiški,Vodiski
Vodje,Leaders
Vodmat,Vodmat
Vodnik,Guide
Vodo,Water
Vodoodporne,Waterproof
Vogel,Vogel
Vogelj,Vogelj
Vogelnik,Vogelnik
Voglauer,Voglauer
Voglu,The corner
Vogrsko,Hungarian
Vojakovićeva,Vojakovićeva
Vojaško,Military
Vojko,Vojko
Vojkovim,To Vojkov
Voklega,Voklega
Volilna,Electoral
Volišča,Polling stations
Volkov,Volkov
Volkswagna,Volkswagen
Volkswagnu,to Volkswagen
Vovbrah,Vovbrach
Voz,Car
Vozite,Drive
Voznika,The driver
Vožnja,Driving
Vpeljali,Introduced
Vpliv,Influence
Vprašal,Asked
Vprašala,She asked
Vprašanja,Questions
Vranješeva,Vranješeva
Vranješevi,Vranješev
Vratar,Gatekeeper
Vrba,Willow
Vrbljene,Willows
Vremenoslovci,Meteorologists
Vremenska,Weather
Vrhovec,Vrhovec
Vrhovni,Supreme
Vrhu,The top
Vrhunec,The climax
Vrhunska,Superb
Vrhunski,Top notch
Vročanje,Serving
Vroče,Hot
Vročice,Fevers
Vrtcem,Kindergarten
Vrtci,Kindergartens
Vrtec,Kindergarten
Vrtnina,A vegetable
Vrtojba,Whirlpool
Vršič,Vrsič
Vrškovac,Vrskovac
Vršno,Top
Vsakih,Everyone
Vsako,Every one
Vsakomur,To everyone
Vsakršni,Any
Vsebina,Content
Vsedržavno,Nationwide
Vseh,All of them
Vsestranska,Versatile
Vsestransko,Versatile
Vsestranskost,Versatility
Vseuk,All the time
Vstopna,Entrance
Vstopnice,Tickets
Vtetovirala,Tattooed
Vuelte,Vuelta
Vuge,Vuge
Vujović,Vujovic
Vzdržljivost,Endurance
Vzemite,Take it
Vzhodnem,Eastern
Vzpon,Ascent
WCjev,toilets
WLTP,WLTP
WTO,WTO
WWF,WWF
Wache,Wait
Wagner,Wagner
Wajdija,Wajdija
Walker,Walker
Wall,Wall
Wallaceu,Wallace
Walter,Walter
Warrenova,Warren
Warrenovo,Warren's
Warwick,Warwick
Washington,Washington
Wave,Wave
Web,Web
Weiffenbach,Weiffenbach
Weiss,Weiss
Welt,Welt
Wendy,Wendy
Wendy,Wendy
Wenliang,Wenliang
Wenlianga,Wenliang
Wernerja,Werner
West,West
WestJetu,to WestJet
Westwood,Westwood
Whittaker,Whittaker
Who,Who
Whyte,Whyte
Wiener,Wiener
Wiesenthal,Wiesenthal
Wieser,Wieser
WikiLeaksa,WikiLeaks
Wikileaks,WikiLeaks
Wiktor,Victor
Wilder,Wilder
Wilhelm,Wilhelm
Willem,Willem
Willem,Willem
William,William
William,William
Williama,William
Williams,Williams
Wilmingtonu,Wilmington
Wilpert,Wilpert
Wiltu,to Wilt
Windsor,Windsor
Winnipegu,Winnipeg
Winterkornomna,Winterkornoma
Wisconsinaje,Wisconsin
Witcher,Witcher
Witcherja,Witcher
Wizardsi,Wizards
Wizzair,Wizzair
Wolfa,Wolf
Wolfe,Wolfe
Wolfganga,Wolfgang
Wolfsburga,Wolfsburg
Wolverhamptona,of Wolverhampton
Women,Women
Woodyjem,Woody
Wróblewski,Wróblewski
Wuhanski,Wuhan
X,X
XS,XS
XXX,XXX
Xavier,Xavier
Xooltime,Xooltime
Yamaha,Yamaha
Yamahina,Yamaha
Yamahino,Yamaha's
Yas,Yas
Yaskawa,Yaskawa
Yatesom,Yates
Yolanda,Yolanda
Yorka,York
YouTuba,YouTube
YouTubu,YouTube
Youtubea,Youtube
ZB,ZB
ZIRS,ZIRS
ZNB,ZNB
ZNS,CIS
ZRC,ZRC
ZRS,ZRS
ZRSVN,ZRSVN
ZVEČER,EVENING
Za,For
Zaandama,Zaandam
Zabovcih,Zabovcih
Zadarski,Zadarski
Zadarsko,Zadar
Zadeli,Hit it
Zadnjih,The last ones
Zadnjo,The last one
Zadra,Zadar
Zadrska,Zadarska
Zadržki,Reservations
Zaeva,Zaeva
Zagorska,Zagorska
Zagotovili,Provided
Zagovarjam,I advocate
Zagrabila,Grabbed
Zagrebačko,Zagreb
Zagrebški,Zagreb
Zahod,West
Zahoda,The West
Zahodna,Western
Zahodnem,Western
Zahodnoevropski,Western European
Zahomc,Zahomc
Zahteven,Demanding
Zahvaljujoč,Thank you
Zaia,Zaia
Zakljuèujemo,We conclude
Zaključni,Finish
Zakon,Law
Zakoni,Laws
Zakonske,Legal
Zakoškova,Zakoskova
Zalar,Zalar
Zalim,Zalim
Založba,Publishing house
Zamisel,An idea
Zamkyju,to Zamky
Zanardi,Zanardi
Zanemarjanje,Neglect
Zanikanje,Denial
Zanima,Interested
Zanimalo,Interested
Zanimanje,Interest
Zanimive,Interesting
Zapadlo,Due
Zapisal,Wrote it down
Zapletom,Complicated
Zapora,Prison
Zaporniki,Prisoners
Zaporožju,Zaporozhye
Zapricah,Zapricach
Zaprti,Closed
Zarifna,Elegant
Zasavju,They fall asleep
Zase,For myself
Zasegli,Seized
Zasip,Backfill
Zaskrbljeni,Concerned
Zaskrbljujoče,Worrying
Zasluga,Merit
Zasluženo,Well deserved
Zaslužijo,They deserve it
Zaton,Decline
Zatrdil,Assert
Zaupajmo,Let's trust
Zaupal,He trusted
Zaupanje,Trust
Zavarovalnica,Insurance company
Zavarovalnici,Insurance companies
Zavarovanci,The insured
Zavedajo,They are aware
Zavedajoč,Aware
Zavedati,To be aware
Zavednemu,To the conscious
Zavestno,Consciously
Zaveznike,Allies
Zavod,Institute
Zavrl,Refusal
Zavzemajo,They occupy
Zayedom,Zayed
Zayna,Zayn
Zaznanih,Detected
Zaèel,Started
Začela,Started
Začeli,Get started
Začelo,Started
Začetki,Beginnings
Začetna,Initial
Začnite,Get started
Zbira,Collecting
Zbirko,Collection
Zdajšnjo,The present one
Zdelo,It seemed
Zdrava,Hello
Zdravilo,Medicine
Zdravje,Health
Zdravko,Cheers
Zdravko,Cheers
Zdravnik,The doctor
Zdravniške,Medical
Zdravniškosestrske,Nursing
Zdravstvenega,Medical
Zdravstvenem,Medical
Zdravstvenemu,Medical
Zdravstvenim,Medical
Združene,United
Združenim,United
Združenje,Association
Zdržal,Withstood
Zebe,Cold
Zeeman,Zeeman
Zeil,Zeil
Zekel,Zekel
Zelandijo,Zealand
Zeleni,The green ones
ZelenicaTržič,ZelenicaTržič
Zelenice,Vegetables
Zelenih,Green ones
Zelenobele,Green and white
Zemeckisa,Zemeckis
Zemeljska,Earthly
Zemljo,Earth
Zermattom,Zermatt
Zgaga,Heartburn
Zgledujmo,Let's lead by example
Zgodbe,Stories
Zgodila,Happened
Zgodilo,It happened
Zgodovina,History
Zgornja,The upper one
Zheijang,Zhejiang
Ziberna,Cyberna
Zimzelene,Evergreens
Zinedine,Zinedine
Zinedine,Zinedine
Zingaretti,Zingaretti
Zirbes,Zirbes
Zlata,Gold
Zlatanu,Zlatan
Zlate,Gold
Zlatki,Darlings
Zlatko,Honey
Zlatko,Honey
Zlatku,Sweetie
Zlatorogu,Golden Horn
Zlažejo,They are lying
Zlorabe,Abuses
Zmaga,Victory
Zmagala,She won
Zmago,Victory
Zmago,Victory
Zmagovalec,The winner
Zmagovati,To win
Zmanjšuje,It reduces
Zmazka,Grease
Zmogel,Was able to
Zmoremo,We can do it
Zmote,Mistakes
Znake,Signs
Znameniti,Famous
Znan,Known
Znan,Known
Znani,Known
Znanja,Knowledge
Znanje,Knowledge
Znano,Known
Znesek,Amount
Znojmo,Let's sweat
Znotraj,Inside
Znova,Again
Zobna,Dental
Zobčeva,Toothache
Zofa,A sofa
Zoper,Against
Zorec,Zorec
Zorko,Zorko
Zorman,Zorman
Zornik,Zornik
Zoro,Dawn
Zorčiču,Zorčič
Zosu,To Zos
Zreče,It falls
Zrimšek,Zrimšek
Zrinjskemu,Zrinjska
Zrinjski,Zrinjski
Zula,Zula
Zunaj,Outside
Zupan,Confident
Zupanc,Zupanc
Zupanovi,The Zupanovs
Zupanu,Zupan
Zupanèiè,Zupanèiè
Zupančiča,Zupančiča
Zverev,Zverev
Zveza,Union
Zvezde,Stars
Zvezde,Stars
Zvezna,Federal
Zvezno,Federally
Zvečer,In the evening
Zvišan,Elevated
Zvon,Bell
Zvone,It's ringing
Zvonimir,Zvonimir
Zvonimir,Zvonimir
Zvonjenje,Ringing
Zvočne,Audible
abnormalno,abnormal
abonente,subscribers
abonma,subscription
abonmaju,subscribe
absolutnega,absolute
absolutnemu,absolute
absorbiranje,absorbing
absurden,absurd
absurdno,absurd
active,active
ad,ad
adenovirusa,adenovirus
aditivov,additives
adjuvansa,adjuvant
administracije,administration
adrenalina,adrenaline
adut,trump card
adutov,of trump cards
adventnem,Advent
afera,an affair
afere,affairs
aferi,affairs
afganistansko,Afghan
afriški,African
agencijah,agencies
agent,agent
agenta,agent
agonije,agony
agonisti,agonists
agregati,aggregates
agresiven,aggressive
agresivnega,aggressive
agresivni,aggressive
agresivno,aggressively
agresivnosti,aggressiveness
agroživilski,agro-food
akademiji,academy
akcij,actions
akcija,action
akcijah,actions
akcijo,action
akcijskega,action
akcijskih,promotional
aken,acne
akontacije,advance payments
akreditirani,accredited
akrobacije,acrobatics
akropola,the acropolis
akta,acts
akterja,actor
akterjev,actors
aktivacija,activation
aktiviran,activated
aktivirani,activated
aktiviranje,activation
aktiviste,activists
aktivistov,activists
aktivnem,active
aktivnostih,activities
aktivnostim,activities
aktov,acts
aktualen,current
aktualni,current
akumulator,battery
akumulatorjev,batteries
akumulatorska,battery
akumulatorskih,rechargeable
akutno,acutely
akvakulture,aquaculture
akvariji,aquariums
akvariju,aquarium
al,al
alarm,alarm
alarmantno,alarmingly
alarmi,alarms
albume,albums
albumom,albums
alejo,hello
alergeno,allergen
alergijah,allergies
alergijskim,allergic
alergogeni,allergens
alg,algae
algoritmov,algorithms
alkoholiku,alcoholic
alkoholiziranosti,alcoholism
alkoholizmom,alcoholism
alkoholna,alcoholic
alpinistiènega,mountaineering
alpinistiènih,mountaineering
alpskega,alpine
alpsko,alpine
alter,alter
alternativa,an alternative
alternativi,alternatives
alternativna,alternative
alternativni,alternative
aluminija,aluminum
aluminijastem,aluminum
aluminijskem,aluminum
aluminijski,aluminum
alžirski,Algerian
amandmaja,of the amendment
amandmaje,amendments
amandmaju,to the amendment
amatersko,amateurish
amazonskih,Amazonian
ambicij,ambitions
ambicijo,ambition
ambiciozne,ambitious
ambiciozni,ambitious
ambiciozno,ambitious
ambulant,ambulatory
ambulantah,clinics
ambulante,clinics
ambulantno,ambulatory
amortizirana,amortized
ampera,ampere
amputirati,to amputate
amsterdamski,Amsterdam
anahronistično,anachronistic
analitiki,analysts
analitikov,analysts
analitske,analytical
analiz,analysis
analizirajo,they analyze
anarhističnimi,anarchist
anatolskih,Anatolian
anatomije,anatomy
andaluzijski,Andalusian
android,android
androidne,android
anekdot,anecdotes
anekdote,anecdotes
aneksa,annex
anemije,anemia
anestezijo,anesthesia
angažiran,engaged
angažiranja,engagement
angažirano,engaged
angažma,engagement
angelski,angelic
angleških,English ones
anglešèini,english people
anglešèino,English
angleščine,English
angleščini,English
animacije,animations
animirani,animated
anket,surveys
anketarja,the interviewer
anketiranci,respondents
anketiranih,of respondents
anomalija,anomaly
anonimen,anonymous
anonimne,anonymous
anonimnem,anonymous
anonimni,anonymous
anonimnost,anonymity
antagonisti,antagonists
antante,entente
antibiotike,antibiotics
antidepresive,antidepressants
antidepresivi,antidepressants
antifašistične,anti-fascist
antifrizom,antifreeze
antijunaki,anti-heroes
antikvariatu,antiquarian
antimigracijske,anti-migration
antioksidantov,antioxidants
antioksidativno,antioxidant
antisemitizem,antisemitism
antisemitu,an antisemite
antisocialno,antisocial
antiène,antiques
antracitno,anthracite
aparat,device
aparati,appliances
aparatih,appliances
aparatu,to the device
apartma,apartment
apartmaju,apartment
apeliral,appealed
aplavzom,with applause
aplikaciji,application
apna,lime
apnenčastim,calcareous
aprilska,April
aprilskem,April
arabskega,Arabic
arabskem,Arabic
arabskih,Arabic
arabščini,Arabic
aranžma,arrangement
aranžman,arrangement
arbitraža,arbitration
arbitražne,arbitration
arbitražnega,arbitration
arbitražnih,of arbitration
arbitražno,arbitration
arboretumu,arboretum
